地區,大廈名單,最後個案居住日期,相關疑似/確診個案
中西區,歐陸貿易中心 (非住宅),24/07/2020,"2143, 2522"
中西區,歷山大廈 (非住宅),17/07/2020,1977
中西區,歷山大廈 (非住宅),17/7/2020,1977
中西區,永和街和興商業大廈 (非住宅),17/07/2020,1730
中西區,永和街和興商業大廈 (非住宅),17/7/2020,1730
中西區,泰達大廈 (非住宅),08/07/2020,1664
中西區,海富中心 (非住宅),13/07/2020,1979
中西區,海富中心 (非住宅),13/7/2020,1979
中西區,海富中心1座 (非住宅),14/07/2020,1854
中西區,海富中心1座 (非住宅),18/07/2020,"1864, 1740"
中西區,海富中心1座 (非住宅),18/7/2020,"1864, 1740"
中西區,港鐵中環站 (非住宅),19/07/2020,2249
中西區,環球大廈 (非住宅),11/07/2020,1904
中西區,環球大廈 (非住宅),11/7/2020,1904
中西區,畢街11號 長龍食府 (非住宅),07/07/2020,1664
中西區,石塘咀市政大廈 (非住宅),13/07/2020,1745
中西區,石塘咀市政大廈 (非住宅),13/7/2020,1745
中西區,石板街酒店 Gradini意大利餐廳 (非住宅),22/07/2020,2109
中西區,石板街酒店 Gradini意大利餐廳 (非住宅),22/7/2020,2109
中西區,統一中心 (非住宅),14/07/2020,1672
中西區,統一中心 (非住宅),14/7/2020,1672
中西區,置地廣塲 (非住宅),14/07/2020,1694
中西區,置地廣塲 (非住宅),14/7/2020,1694
中西區,美菲閣2座,,1664
中西區,翰林軒1座,,1889
中西區,聖嘉勒女書院 (非住宅),22/07/2020,2030
中西區,聖嘉勒女書院 (非住宅),22/7/2020,2030
中西區,聯友新樓 佳記餐廳 (非住宅),15/07/2020,1759
中西區,聯發商業中心 (非住宅),15/07/2020,1888
中西區,聯發商業中心 (非住宅),15/7/2020,1888
中西區,致生大厦 (非住宅),14/07/2020,1854
中西區,致生大厦 (非住宅),14/7/2020,1854
中西區,華懋廣場II期 (非住宅),23/07/2020,2389
中西區,華秦國際大廈 (非住宅),17/07/2020,1745
中西區,華秦國際大廈 (非住宅),17/7/2020,1745
中西區,萬安商業大廈 (非住宅),17/07/2020,1745
中西區,萬安商業大廈 (非住宅),17/7/2020,1745
中西區,萬邦行 (非住宅),10/07/2020,1664
中西區,萬邦行 (非住宅),10/7/2020,1664
中西區,萬邦行 (非住宅),22/07/2020,2485
中西區,蘇杭街88號 球哥燉湯 (非住宅),09/07/2020,1664
中西區,西營盤街市 (非住宅),12/07/2020,2414
中西區,西營盤街市 (非住宅),22/07/2020,2414
中西區,西環邨中苑臺,,2531
中西區,西環邨中苑臺,,2532
中西區,西環邨中苑臺,,2753
中西區,誠利商場 (非住宅),15/07/2020,1745
中西區,誠利商場 (非住宅),15/7/2020,1745
中西區,金鐘道政府合署 (非住宅),10/07/2020,1581
中西區,金鐘道政府合署 (非住宅),10/7/2020,1581
九龍城,九龍城市政大廈 (非住宅),19/07/2020,1918
九龍城,九龍城廣場 大快活 (非住宅),19/07/2020,2103
九龍城,九龍城廣場 大快活 (非住宅),19/7/2020,2103
九龍城,九龍城道151號,,1716
九龍城,九龍城道157-159號寶成洋樓,,1727
九龍城,何文田廣場 (非住宅),15/07/2020,1780
九龍城,何文田廣場 (非住宅),15/7/2020,1780
九龍城,何文田廣場 (非住宅),19/07/2020,"1780, 2476"
九龍城,何文田廣場 Itamama (非住宅),09/07/2020,1593
九龍城,何文田廣場 明星海鮮燒鵝專門店 (非住宅),20/07/2020,2282
九龍城,何文田廣場 明星海鮮燒鵝專門店 (非住宅),20/7/2020,2282
九龍城,何文田邨欣文樓,,2847
九龍城,何文田邨綺文樓,,1780
九龍城,何文田邨適文樓,,2476
九龍城,侯王道25號 (非住宅),20/07/2020,2613
九龍城,保良局林文燦英文小學 (非住宅),07/07/2020,1446
九龍城,偉恆昌新村 恆景閣 (非住宅),14/07/2020,1754
九龍城,偉恆昌新村恆景閣 (非住宅),14/07/2020,1754
九龍城,偉恆昌新村恆景閣 (非住宅),14/7/2020,1754
九龍城,偉華園,,2613
九龍城,北帝街67號 (非住宅),07/07/2020,1368
九龍城,唯一大廈 (非住宅),15/07/2020,1754
九龍城,唯一大廈 (非住宅),15/7/2020,1754
九龍城,啟朗苑 百份百餐廳 (非住宅),19/07/2020,2164
九龍城,啟朗苑 百份百餐廳 (非住宅),19/7/2020,2164
九龍城,土木工程拓展署大樓 (非住宅),18/07/2020,2159
九龍城,土木工程拓展署大樓 (非住宅),18/7/2020,2159
九龍城,土木工程拓展署大樓 (非住宅),20/07/2020,2159
九龍城,土瓜灣大廈 譚仔三哥米線 (非住宅),07/07/2020,1368
九龍城,土瓜灣定安大廈 (非住宅),15/07/2020,1754
九龍城,土瓜灣定安大廈 (非住宅),15/7/2020,1754
九龍城,土瓜灣市政大廈暨政府合署 (非住宅),16/07/2020,"1498, 1716, 1754"
九龍城,土瓜灣市政大廈暨政府合署 (非住宅),20/07/2020,"1498, 1620, 1716, 1754, 2265, 2296"
九龍城,土瓜灣市政大廈暨政府合署 (非住宅),20/7/2020,"1498, 1620, 1716, 1754, 2265, 2296"
九龍城,土瓜灣立基大廈,,1368
九龍城,土瓜灣立基大廈,,1400
九龍城,土瓜灣立基大廈,,1498
九龍城,土瓜灣街市 (非住宅),18/07/2020,2338
九龍城,土瓜灣道號唯一大廈 (非住宅),15/07/2020,1754
九龍城,大利大廈 檀香山茶餐廳 (非住宅),18/07/2020,1723
九龍城,大利大廈 檀香山茶餐廳 (非住宅),18/7/2020,1723
九龍城,大龍樓,,2575
九龍城,天鑄1期7座,,2811
九龍城,奧斯酒店,,2879
九龍城,定安大廈,,2115
九龍城,家維商場 (非住宅),18/07/2020,2190
九龍城,家維商場 (非住宅),18/7/2020,2190
九龍城,家維邨家興樓 (非住宅),22/07/2020,2650
九龍城,家維邨家邦樓,,1965
九龍城,家維邨家邦樓,,2190
九龍城,家維邨家邦樓,,2277
九龍城,富高工業中心 (非住宅),22/07/2020,2152
九龍城,寰宇殯儀館 (非住宅),16/07/2020,"1693, 1713"
九龍城,寰宇殯儀館 (非住宅),16/7/2020,"1693, 1713"
九龍城,寶成洋樓,,1569
九龍城,寶成洋樓,,1619
九龍城,寶成洋樓,,1620
九龍城,寶成洋樓,,1621
九龍城,寶石戲院大廈A座 (非住宅),22/07/2020,2121
九龍城,寶石戲院大廈A座 (非住宅),22/7/2020,2121
九龍城,崇廉樓,,2152
九龍城,嶺南大廈,,1426
九龍城,嶺南大廈,,1511
九龍城,嶺南大廈,,2233
九龍城,工業貿易大樓 (非住宅),16/07/2020,1617
九龍城,工業貿易大樓 (非住宅),16/7/2020,1617
九龍城,德朗邨德珊樓,,1695
九龍城,德朗邨德琦樓,,2068
九龍城,德朗邨德瑞樓,,1457
九龍城,德朗邨德瑞樓,,2448
九龍城,德朗邨德瑩樓,,2060
九龍城,德朗邨德璋樓,,1808
九龍城,德裕閣 甜麥麥麵包西餅 (非住宅),23/07/2020,2296
九龍城,德豐樓,,1918
九龍城,德豐樓,,2206
九龍城,怡安閣 (非住宅),22/07/2020,2476
九龍城,愛民廣場 (非住宅),22/07/2020,2641
九龍城,愛民廣場 百份百餐廳 (非住宅),19/07/2020,2110
九龍城,愛民廣場 百份百餐廳 (非住宅),19/7/2020,2110
九龍城,愛民邨信民樓,,1942
九龍城,愛民邨信民樓,,2192
九龍城,愛民邨嘉民樓,,2641
九龍城,播道醫院 (非住宅),15/07/2020,"1730, 1786, 1896"
九龍城,播道醫院 (非住宅),15/07/2020,"1730, 1896"
九龍城,播道醫院 (非住宅),15/7/2020,"1730, 1786, 1896"
九龍城,新城中心 (非住宅),12/07/2020,1594
九龍城,新城中心 (非住宅),12/7/2020,1594
九龍城,新城中心4座 (非住宅),22/07/2020,2099
九龍城,新城中心4座 (非住宅),22/7/2020,2099
九龍城,旺德大廈,,2434
九龍城,昇御門 (非住宅),17/07/2020,2102
九龍城,昇御門 (非住宅),17/7/2020,2102
九龍城,春田街福運大廈,,2338
九龍城,昭民樓 愛民茶餐廳 (非住宅),18/07/2020,1942
九龍城,昭民樓 愛民茶餐廳 (非住宅),18/7/2020,1942
九龍城,晴朗商場 (非住宅),10/07/2020,1695
九龍城,晴朗商場 (非住宅),20/07/2020,"1695, 2109, 2164"
九龍城,晴朗商場 (非住宅),20/7/2020,"1695, 2109, 2164"
九龍城,晴朗商場 (非住宅),24/07/2020,"1695, 2109, 2164, 2448"
九龍城,晴朗商場 A區 (非住宅),11/07/2020,1457
九龍城,晴朗商場 A區 (非住宅),11/7/2020,1457
九龍城,晴朗商場 太子美食 (非住宅),20/07/2020,"2109, 2110, 2164"
九龍城,晴朗商場 太子美食 (非住宅),20/07/2020,2110
九龍城,晴朗商場 太子美食 (非住宅),20/7/2020,"2109, 2110, 2164"
九龍城,晴朗商場 金鳳大餐廳 (非住宅),18/07/2020,1808
九龍城,晴朗商場 金鳳大餐廳 (非住宅),18/7/2020,1808
九龍城,森麻實道2號 (非住宅),08/07/2020,1477
九龍城,民泰街7號 印尼沙爹屋 (非住宅),19/07/2020,1971
九龍城,民泰街7號 印尼沙爹屋 (非住宅),19/7/2020,1971
九龍城,浩明雅苑,,1777
九龍城,浩明雅苑,,2131
九龍城,海濱南岸6座,,1623
九龍城,海濱廣場一座 (非住宅),07/07/2020,1398
九龍城,海逸豪園20座,,2175
九龍城,海逸豪園23座 (非住宅),17/07/2020,1904
九龍城,海逸豪園23座 (非住宅),17/7/2020,1904
九龍城,海逸豪園3期12A座,,2058
九龍城,海逸豪園3期12A座,,2296
九龍城,海逸豪園3期12A座,,2297
九龍城,海逸豪園3期悅濤灣8座,,2188
九龍城,海逸豪園8座,,2145
九龍城,海逸豪園8座,,2181
九龍城,港圖灣,,2322
九龍城,溫思勞街19號,,2720
九龍城,獅子石道17號 (非住宅),16/07/2020,2103
九龍城,獅子石道19-21號 地茂館燒味粥麵餐廳 (非住宅),18/07/2020,2243
九龍城,碧華花園3座,,2470
九龍城,祥祺中心B座 (非住宅),09/07/2020,1398
九龍城,祥祺中心Ａ座 (非住宅),16/07/2020,1888
九龍城,祥祺中心Ａ座 (非住宅),16/7/2020,1888
九龍城,福運大廈,,1924
九龍城,福運大廈,,2037
九龍城,紅磡市政大廈 (非住宅),17/07/2020,"1760, 1765"
九龍城,紅磡市政大廈 (非住宅),18/07/2020,"1723, 1760, 1765, 1965"
九龍城,紅磡市政大廈 (非住宅),18/07/2020,"1760, 1765, 1965"
九龍城,紅磡市政大廈 (非住宅),23/07/2020,"1723, 1760, 1765, 1965, 2116, 2296, 2316, 2341"
九龍城,紅磡市政大廈 (非住宅),23/07/2020,"1723, 1760, 1765, 1965, 2296, 2316, 2341"
九龍城,紅磡市政大廈 (非住宅),23/7/2020,"1723, 1760, 1765, 1965, 2296, 2316, 2341"
九龍城,紅磡廣場 (非住宅),19/07/2020,2360
九龍城,紅磡海濱廣場2座 (非住宅),13/07/2020,1638
九龍城,紅磡海濱廣場2座 (非住宅),13/7/2020,1638
九龍城,紅磡海濱廣場二座 (非住宅),13/07/2020,1638
九龍城,紅磡海逸豪園20座,,1633
九龍城,美景街2號美景樓一期,,1754
九龍城,翔龍灣廣場 (非住宅),27/07/2020,2333
九龍城,翔龍灣廣場 太興 (非住宅),07/07/2020,1446
九龍城,聖德肋撒醫院 (非住宅),11/07/2020,1513
九龍城,聖德肋撒醫院 (非住宅),18/07/2020,"1513, 2243"
九龍城,聖德肋撒醫院 (非住宅),18/7/2020,"1513, 2243"
九龍城,興仁街1號,,1624
九龍城,興仁街1號,,1625
九龍城,衙前圍道122號,,2439
九龍城,金都豪苑 麵麵棧 (非住宅),14/07/2020,1633
九龍城,金都豪苑 麵麵棧 (非住宅),14/7/2020,1633
九龍城,雅麗居2座,,2783
九龍城,露明道4號,,2243
九龍城,香港房屋委員會總部 (非住宅),13/07/2020,1593
九龍城,香港房屋委員會總部 (非住宅),13/7/2020,1593
九龍城,香港浸信會醫院 (非住宅),17/07/2020,"1314, 1364, 1557, 1644, 1779"
九龍城,香港浸信會醫院 (非住宅),17/07/2020,"1314, 1364, 1557, 1644, 1779, 2008"
九龍城,香港浸信會醫院 (非住宅),17/7/2020,"1314, 1364, 1557, 1644, 1779, 2008"
九龍城,香港浸會大學 (非住宅),13/07/2020,1628
九龍城,香港浸會大學 (非住宅),13/7/2020,1628
九龍城,馬頭圍邨芙蓉樓,,2577
九龍城,馬頭涌道90-93號 龍寶酒家 (非住宅),11/07/2020,1736
九龍城,馬頭涌道90-93號 龍寶酒家 (非住宅),11/7/2020,1736
九龍城,黃埔天地 博藝會 (非住宅),18/07/2020,1723
九龍城,黃埔天地 博藝會 (非住宅),18/7/2020,1723
九龍城,黃埔天地百合苑商場 譚仔三哥米線 (非住宅),09/07/2020,1398
九龍城,黃埔天地金萬年酒家 (非住宅),07/07/2020,1919
九龍城,黃埔新天地第5及6期 (非住宅),19/07/2020,2494
九龍城,黃埔花園 肯德基 (非住宅),21/07/2020,2025
九龍城,黃埔花園 肯德基家鄉雞 (非住宅),21/07/2020,2025
九龍城,黃埔花園 肯德基家鄉雞 (非住宅),21/7/2020,2025
九龍城,黃埔花園 麥當勞 (非住宅),20/07/2020,2025
九龍城,黃埔花園 麥當勞 (非住宅),20/7/2020,2025
九龍城,黃埔花園4期6座,,2198
九龍城,黃埔花園4期棕櫚苑6座,,1723
九龍城,黃埔花園棕櫚苑1座,,1968
九龍城,黃埔花園棕櫚苑4期2座,,2718
九龍城,黃埔花園棕櫚苑4期6座,,2108
九龍城,黃埔花園棕櫚苑4期棕櫚苑6座,,2527
九龍城,黃埔花園棕櫚苑6座,,1760
九龍城,黃埔花園紫荊苑11期5座,,2025
九龍城,黃埔花園紫荊苑11期5座,,2116
九龍城,黃埔號 (非住宅),16/07/2020,1848
九龍城,黃埔號 (非住宅),16/7/2020,1848
九龍城,黃埔街18號,,1765
九龍城,黃埔街18號,,2327
九龍城,龍珠樓 (非住宅),24/07/2020,2401
九龍城,龍譽 2B 座,,2300
九龍城,龍譽2B座,,2109
九龍城,龍譽2B座,,2110
元朗,交通廣場 百份百餐廳 (非住宅),16/07/2020,1613
元朗,交通廣場 百份百餐廳 (非住宅),16/7/2020,1613
元朗,俊宏軒4座,,1953
元朗,俊宏軒4座,,2238
元朗,偉記燒烤樂園 (非住宅),24/07/2020,2410
元朗,元朗安寧路順興樓,,1857
元朗,元朗廣場 (非住宅),12/07/2020,"1540, 1712"
元朗,元朗廣場 (非住宅),12/7/2020,"1540, 1712"
元朗,元朗廣場 牛一 (非住宅),19/07/2020,2092
元朗,元朗廣場 牛一 (非住宅),19/7/2020,2092
元朗,元朗廣場 麥當勞 (非住宅),21/07/2020,2092
元朗,元朗廣場 麥當勞 (非住宅),21/7/2020,2092
元朗,光華廣場 (非住宅),13/07/2020,2139
元朗,加州花園紅花徑,,2162
元朗,勤業樓 (非住宅),21/07/2020,"1858, 2315"
元朗,勤業樓 (非住宅),21/07/2020,2315
元朗,合益商場 (非住宅),20/07/2020,"1857, 2084"
元朗,合益商場 (非住宅),20/07/2020,2084
元朗,合益商場 (非住宅),20/7/2020,2084
元朗,合益廣場 (非住宅),23/07/2020,2286
元朗,合益街市 (非住宅),20/07/2020,"1857, 2084"
元朗,同樂街22號 (非住宅),23/07/2020,2286
元朗,唐人新村路1號 唐 (非住宅),22/07/2020,2213
元朗,嘉城大廈 (非住宅),21/07/2020,2092
元朗,嘉城大廈 (非住宅),21/7/2020,2092
元朗,嘉湖山莊樂湖居10座,,1431
元朗,嘉湖山莊翠湖居1座,,2046
元朗,塘坊村,,2317
元朗,塘坊村8號,,2172
元朗,塘頭埔村,,2022
元朗,壆圍村,,2542
元朗,大橋街市 (非住宅),09/07/2020,"1471, 1561"
元朗,大橋街市 (非住宅),23/07/2020,"1471, 1561, 2286"
元朗,大橋街市 (非住宅),9/7/2020,"1471, 1561"
元朗,天恩邨恩穗樓,,1795
元朗,天恩邨恩穗樓,,2213
元朗,天慈邨天麗苑 (非住宅),16/07/2020,1907
元朗,天慈邨天麗苑 (非住宅),16/7/2020,1907
元朗,天晴邨晴喜樓,,2862
元朗,天晴邨晴悅樓,,2688
元朗,天晴邨晴悅樓,,2752
元朗,天澤服務設施大樓 (非住宅),18/07/2020,1953
元朗,天澤服務設施大樓 (非住宅),18/7/2020,1953
元朗,天澤邨澤星樓,,2727
元朗,天澤邨澤星樓,,2806
元朗,天盛商場 (非住宅),12/07/2020,1540
元朗,天盛商場 (非住宅),12/7/2020,1540
元朗,天盛苑盛彩閣,,1540
元朗,天盛苑盛彩閣,,2003
元朗,天盛苑盛賢閣,,2722
元朗,天耀一邨耀逸樓 (非住宅),22/07/2020,2208
元朗,天耀二邨耀華樓 (非住宅),18/07/2020,2157
元朗,天耀二邨耀華樓 (非住宅),18/7/2020,2157
元朗,天耀邨耀澤樓,,2552
元朗,天頌苑頌波閣,,1945
元朗,好景洋樓,,2659
元朗,宏豐大廈 (非住宅),09/07/2020,"1428, 1482"
元朗,宏豐大廈 (非住宅),9/7/2020,"1428, 1482"
元朗,屏山坑頭村,,2539
元朗,屏欣苑屏彥閣,,1890
元朗,峻巒1B期7B座,,2599
元朗,康德閣,,1428
元朗,康德閣,,1482
元朗,形點 I Pizza Express (非住宅),17/07/2020,"1903, 1996"
元朗,形點 Pizza Express (非住宅),17/07/2020,1996
元朗,形點 Pizza Express (非住宅),17/7/2020,1996
元朗,形點I (非住宅),19/07/2020,1879
元朗,形點I (非住宅),19/7/2020,1879
元朗,形點II 茶木 (非住宅),14/07/2020,1884
元朗,形點二期 茶木 (非住宅),14/07/2020,1884
元朗,形點二期 茶木 (非住宅),14/7/2020,1884
元朗,教育路 麗聲冰室 (非住宅),19/07/2020,2600
元朗,新時代廣場8座,,1891
元朗,朗善邨善愛樓,,2286
元朗,朗善邨善愛樓,,2287
元朗,朗善邨善愛樓,,2335
元朗,朗屏邨畫屏樓 (非住宅),11/07/2020,1774
元朗,朗屏邨畫屏樓 (非住宅),11/7/2020,1774
元朗,柏慧豪園1座 (非住宅),18/07/2020,2027
元朗,柏慧豪園1座 (非住宅),18/7/2020,2027
元朗,水蕉新村,,1366
元朗,水邊圍邨山水樓 (非住宅),18/07/2020,2192
元朗,永泰樓,,2092
元朗,洪福商場 麥當勞 (非住宅),21/07/2020,2398
元朗,洪福邨洪昌樓,,1631
元朗,洪福邨洪盛樓,,2875
元朗,白沙村,,2706
元朗,興發大樓 麥當勞 (非住宅),21/07/2020,2092
元朗,興發大樓 麥當勞 (非住宅),21/7/2020,2092
元朗,裕景坊11號 (非住宅),09/07/2020,1482
元朗,豐興樓 (非住宅),23/07/2020,2286
元朗,錦上路謝屋村,,2289
元朗,錦安花園40座,,2843
元朗,雅珊園 德福海鮮酒家 (非住宅),20/07/2020,2315
元朗,鳳池村,,1879
元朗,鳳池村,,2126
元朗,鴻發大樓,,1712
北區,上水圍,,2549
北區,上水屠房 (非住宅),25/07/2020,"2671, 2770"
北區,上水屠房 (非住宅),25/07/2020,"2671, 2770, 2806, 2849"
北區,上水廣場 (非住宅),17/07/2020,1989
北區,上水廣場 (非住宅),21/07/2020,"1989, 2157"
北區,上水廣場 (非住宅),21/7/2020,"1989, 2157"
北區,北區運動場 (非住宅),16/07/2020,2166
北區,古洞燕崗村,,1975
北區,唐公嶺,,1438
北區,大元村,,2157
北區,大元村,,2393
北區,大元村,,2429
北區,大元村新一巷3號,,2157
北區,天平邨天明樓 (非住宅),20/07/2020,2078
北區,天平邨天明樓 (非住宅),20/7/2020,2078
北區,天平邨天美樓,,2178
北區,富榮大廈,,2179
北區,尼斯花園22座,,2671
北區,帝庭軒2座,,2770
北區,張知行大廈 海港酒家 (非住宅),10/07/2020,1989
北區,張知行大廈 海港酒家 (非住宅),10/7/2020,1989
北區,彩園廣場 (非住宅),17/07/2020,1946
北區,彩園廣場 (非住宅),17/7/2020,1946
北區,彩園廣場 大家樂 (非住宅),15/07/2020,1887
北區,彩園廣場 大家樂 (非住宅),15/7/2020,1887
北區,彩園廣場 麥當勞 (非住宅),21/07/2020,2180
北區,彩園邨彩屏樓 (非住宅),17/07/2020,1887
北區,彩園邨彩屏樓 (非住宅),17/7/2020,1887
北區,彩園邨彩湖樓,,1947
北區,彩園邨彩華樓,,2576
北區,彩園邨彩華樓,,2633
北區,御林皇府,,1276
北區,慧雯花園,,2053
北區,慧雯花園,,2072
北區,慧雯花園,,2077
北區,新健街19號,,2692
北區,新屋嶺村,,1989
北區,新屋嶺村,,2312
北區,旭埔苑清湖閣,,1887
北區,旭埔苑清湖閣,,1946
北區,旭埔苑清湖閣,,2831
北區,松柏塱,,2859
北區,松柏塱,,2860
北區,松柏塱,,2861
北區,榮福中心2座,,2167
北區,榮福中心2座,,2582
北區,榮福中心2座,,2729
北區,榮福中心2座,,2796
北區,榮輝中心商場 (非住宅),12/07/2020,2167
北區,永寧村,,2357
北區,永寧村,,2741
北區,沙頭角公路 龍躍頭段18號 (非住宅),13/07/2020,1672
北區,沙頭角公路 龍躍頭段18號 (非住宅),13/7/2020,1672
北區,沙頭角農莊 (非住宅),18/07/2020,2178
北區,海聯廣場 麥當勞 (非住宅),21/07/2020,2180
北區,深圳灣出入境管制站 (非住宅),09/07/2020,1445
北區,深圳灣出入境管制站 (非住宅),11/07/2020,"1445, 2142"
北區,深圳灣出入境管制站 (非住宅),11/7/2020,"1445, 2142"
北區,石湖墟市政大廈 (非住宅),15/07/2020,1947
北區,石湖墟市政大廈 (非住宅),15/07/2020,1974
北區,石湖墟市政大廈 (非住宅),18/07/2020,"1947, 1989, 2053, 2072"
北區,石湖墟市政大廈 (非住宅),18/7/2020,"1947, 1989, 2053, 2072"
北區,石湖墟市政大廈 (非住宅),20/07/2020,"1947, 1989, 2053, 2072, 2179, 2284,2393"
北區,石湖墟市政大廈 (非住宅),20/07/2020,"1947, 1989, 2053, 2072, 2179, 2393"
北區,石湖墟市政大廈 (非住宅),23/07/2020,"1947, 1989, 2053, 2072, 2179, 2284,2393, 2576"
北區,祥華邨祥景樓,,2548
北區,祥華邨祥景樓,,2632
北區,祥華邨祥景樓,,2740
北區,粉嶺中心 (非住宅),18/07/2020,1975
北區,粉嶺中心 (非住宅),19/07/2020,"1975, 2053"
北區,粉嶺中心 (非住宅),19/7/2020,"1975, 2053"
北區,粉嶺中心 翠河餐廳 (非住宅),19/07/2020,"2053, 2072"
北區,粉嶺中心 翠河餐廳 (非住宅),19/7/2020,"2053, 2072"
北區,粉嶺名都商場 (非住宅),21/07/2020,2355
北區,粉嶺名都商場 大家樂 (非住宅),21/07/2020,2355
北區,粉嶺名都富臨閣,,2313
北區,粉嶺名都富臨閣,,2355
北區,粉嶺圍,,2672
北區,綠悠軒5座,,1568
北區,綠悠軒5座,,1585
北區,翠麗花園1座,,2166
北區,聯和墟市政大廈 (非住宅),14/07/2020,1568
北區,聯和墟市政大廈 (非住宅),14/7/2020,1568
北區,聯和墟市政大廈 (非住宅),19/07/2020,"1568, 2167"
北區,聯和市場 (非住宅),24/07/2020,2548
北區,華明商場 皇庭匯 (非住宅),23/07/2020,2264
北區,華明邨信明樓地下及一樓一號 (非住宅),24/07/2020,2698
北區,蓬瀛仙館 (非住宅),24/07/2020,"2495, 2717, 2843"
北區,行樂坊 (非住宅),22/07/2020,2179
北區,金誠樓 麥當勞 (非住宅),21/07/2020,2180
北區,雍盛苑雍萃閣,,1660
北區,順欣花園 (非住宅),19/07/2020,2178
北區,香港耀能協會賽馬會白普理華心護康中心 (非住宅),24/07/2020,2633
北區,龍琛路16號 (非住宅),19/07/2020,2179
北區,龍豐花園 唐記包點 (非住宅),19/07/2020,2178
北區,龍豐花園 稻香 (非住宅),15/07/2020,2053
北區,龍豐花園 稻香 (非住宅),15/7/2020,2053
北區,龍豐花園A座,,2078
北區,龍豐花園A座,,2284
北區,龍豐花園商場 (非住宅),19/07/2020,"2157, 2178"
北區,龍豐花園商場 (非住宅),19/07/2020,2157
北區,龍豐花園商場 (非住宅),19/7/2020,2157
北區,龍豐花園商場 豐泰牛雜專家 (非住宅),20/07/2020,2078
北區,龍豐花園商場 豐泰牛雜專家 (非住宅),20/7/2020,2078
南區,利東邨東安樓,,2825
南區,東華三院賽馬會復康中心B座 (非住宅),16/07/2020,1908
南區,東華三院賽馬會復康中心B座 (非住宅),16/7/2020,1908
南區,東華三院賽馬會松朗安老綜合中心 (非住宅),17/07/2020,"1691, 1708, 1908"
南區,東華三院賽馬會松朗安老綜合中心 (非住宅),19/07/2020,"1691, 1708, 1908"
南區,東華三院賽馬會松朗安老綜合中心 (非住宅),19/7/2020,"1691, 1708, 1908"
南區,海怡半島4期26座,,1749
南區,漁光村順風樓,,1708
南區,田灣邨田麗樓,,1908
南區,石排灣邨碧園樓,,1691
南區,石排灣邨碧園樓,,1943
南區,石排灣邨碧園樓,,1974
南區,石排灣邨碧月樓,,1848
南區,石排灣邨碧綠樓,,2266
